"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","wage"
13,50,"yes",0,"no","no","yes","male","no",12,"no",500
14,51,"yes",0,"no","no","yes","male","no",12,"no",525
15,51,"yes",0,"no","no","yes","male","no",12,"no",600
16,50,"yes",0,"no","no","yes","male","no",12,"no",700
6,40,"yes",1,"no","no","yes","male","no",13,"no",598
7,49,"yes",1,"no","no","yes","male","no",13,"no",640
8,49,"yes",1,"no","no","yes","male","no",13,"no",632
9,49,"yes",1,"no","no","yes","male","no",13,"no",763
10,50,"yes",1,"no","no","yes","male","no",13,"no",862
11,46,"yes",1,"no","no","yes","male","no",13,"no",930
12,45,"yes",1,"no","no","yes","male","no",13,"no",1012
3,51,"no",0,"yes","yes","no","female","no",16,"no",329
4,50,"no",0,"yes","yes","no","female","no",16,"no",375
5,50,"no",0,"yes","yes","no","female","no",16,"no",390
6,50,"no",0,"yes","yes","no","female","no",16,"no",480
7,47,"no",0,"yes","yes","no","female","no",16,"no",650
8,50,"no",0,"yes","yes","no","female","no",16,"no",813
9,51,"no",0,"yes","yes","no","female","no",16,"no",823
5,51,"yes",1,"no","yes","yes","male","yes",12,"no",540
6,42,"yes",1,"no","yes","yes","male","yes",12,"no",595
7,48,"yes",1,"no","yes","yes","male","yes",12,"no",640
8,47,"yes",1,"no","yes","yes","male","yes",12,"no",720
9,49,"yes",1,"no","yes","yes","male","yes",12,"no",740
10,48,"yes",0,"no","yes","yes","male","yes",12,"no",825
11,46,"yes",1,"no","yes","yes","male","no",12,"no",1090
8,39,"no",0,"no","yes","yes","male","yes",17,"no",875
9,40,"no",0,"no","yes","yes","male","yes",17,"no",875
10,41,"no",0,"no","yes","yes","male","yes",17,"no",985
11,34,"no",0,"no","no","yes","male","yes",17,"no",1050
12,50,"no",0,"no","yes","yes","male","yes",17,"no",1050
13,40,"no",0,"no","yes","yes","male","yes",17,"no",1325
14,38,"no",0,"no","yes","yes","male","yes",17,"no",1460
2,47,"yes",0,"no","yes","no","male","no",12,"no",300
3,31,"yes",0,"no","yes","no","male","no",12,"no",454
4,45,"yes",0,"no","yes","no","male","no",12,"no",600
5,51,"yes",0,"no","yes","no","male","no",12,"no",835
6,49,"yes",0,"no","yes","no","male","no",12,"no",887
7,50,"yes",0,"no","yes","no","male","no",12,"no",1010
8,51,"yes",0,"no","yes","no","male","no",12,"no",1056
7,50,"yes",1,"no","no","yes","male","no",12,"no",541
8,50,"yes",1,"no","no","yes","male","no",12,"no",674
9,46,"yes",1,"no","no","yes","male","no",12,"no",772
10,47,"yes",1,"no","no","yes","male","no",12,"no",976
11,43,"yes",1,"no","no","yes","male","no",12,"no",1150
12,44,"yes",1,"no","no","yes","male","no",12,"no",1248
13,47,"yes",1,"no","no","yes","male","no",12,"no",1298
5,52,"yes",0,"no","yes","yes","male","no",12,"no",500
6,51,"yes",0,"no","yes","yes","male","no",12,"no",550
7,49,"yes",0,"no","yes","yes","male","no",12,"no",775
8,50,"yes",0,"no","yes","yes","male","no",12,"no",687
9,49,"yes",0,"no","yes","yes","male","no",12,"no",737
10,50,"yes",0,"no","yes","yes","male","no",12,"no",813
11,50,"yes",0,"no","yes","yes","male","no",12,"no",775
5,50,"no",0,"no","yes","yes","male","no",16,"no",700
6,51,"no",0,"no","yes","yes","male","no",16,"no",725
7,48,"no",0,"no","yes","yes","male","no",16,"no",800
8,51,"no",0,"no","yes","yes","male","no",16,"no",880
9,48,"no",0,"no","yes","yes","male","no",16,"no",1000
10,50,"no",0,"no","yes","yes","male","no",16,"no",1161
11,49,"no",0,"no","yes","yes","male","no",16,"no",1127
14,51,"yes",1,"yes","no","yes","male","no",10,"no",295
15,51,"yes",1,"yes","no","yes","male","no",10,"no",300
16,51,"yes",1,"yes","no","yes","male","no",10,"no",345
17,51,"yes",1,"yes","no","yes","male","no",10,"no",400
18,51,"yes",1,"yes","no","yes","male","no",10,"no",430
19,50,"yes",1,"yes","no","yes","male","no",10,"no",450
20,30,"yes",1,"yes","no","yes","male","no",10,"no",400
12,50,"yes",0,"no","yes","yes","male","yes",12,"yes",749
13,50,"yes",0,"no","yes","yes","male","yes",12,"yes",815
14,49,"yes",0,"no","yes","yes","male","yes",12,"yes",888
15,49,"yes",0,"no","yes","yes","male","yes",12,"yes",977
16,48,"yes",0,"no","yes","yes","male","yes",12,"yes",1186
17,48,"yes",0,"no","yes","yes","male","yes",12,"yes",1235
18,48,"yes",0,"no","yes","yes","male","yes",12,"yes",1312
1,51,"no",0,"yes","no","yes","male","no",16,"no",230
2,50,"no",0,"yes","yes","yes","male","no",16,"no",375
3,49,"no",0,"yes","yes","yes","male","no",16,"no",425
4,49,"no",0,"yes","yes","yes","male","no",16,"no",449
5,49,"no",0,"yes","yes","yes","male","no",16,"no",719
6,50,"no",0,"yes","yes","yes","male","no",16,"no",576
7,50,"no",0,"yes","yes","yes","male","no",16,"no",900
31,48,"yes",0,"no","yes","yes","male","yes",12,"no",786
32,47,"yes",0,"no","yes","yes","male","yes",12,"no",843
33,46,"yes",0,"no","yes","yes","male","yes",12,"no",902
34,47,"yes",0,"no","yes","yes","male","yes",12,"no",968
35,47,"yes",0,"no","yes","yes","male","yes",12,"no",1044
36,46,"yes",0,"no","yes","yes","male","yes",12,"no",1186
37,46,"yes",0,"no","yes","yes","male","yes",12,"no",1300
3,44,"yes",1,"no","yes","yes","male","yes",12,"no",565
4,45,"yes",1,"no","yes","yes","male","yes",12,"no",688
5,44,"yes",1,"no","yes","yes","male","yes",12,"no",750
6,43,"yes",1,"no","yes","yes","male","yes",12,"no",730
7,44,"yes",1,"no","yes","yes","male","yes",12,"no",908
8,43,"yes",1,"no","yes","yes","male","yes",12,"no",910
9,44,"yes",1,"no","yes","yes","male","yes",12,"no",963
34,46,"yes",1,"no","yes","yes","male","yes",8,"no",642
35,46,"yes",1,"no","yes","yes","male","yes",8,"no",650
36,42,"yes",1,"no","yes","yes","male","yes",8,"no",742
37,38,"yes",1,"no","yes","yes","male","yes",8,"no",700
38,46,"yes",1,"no","yes","yes","male","yes",8,"no",872
39,45,"yes",1,"no","yes","yes","male","yes",8,"no",950
40,46,"yes",1,"no","yes","yes","male","yes",8,"no",950
6,15,"yes",1,"no","yes","yes","male","yes",13,"no",665
7,47,"yes",1,"no","yes","yes","male","no",13,"no",676
8,49,"yes",1,"no","yes","yes","male","yes",13,"no",774
9,47,"yes",1,"no","yes","yes","male","yes",13,"no",870
10,50,"yes",1,"no","yes","yes","male","yes",13,"no",933
11,49,"yes",1,"no","yes","yes","male","yes",13,"no",961
12,47,"yes",1,"no","yes","yes","male","yes",13,"no",1166
10,39,"yes",0,"yes","no","no","male","no",8,"yes",200
11,48,"yes",0,"yes","no","no","male","no",8,"yes",225
12,40,"yes",0,"yes","no","no","male","no",8,"yes",225
13,29,"yes",0,"yes","no","no","male","no",8,"yes",225
14,40,"yes",0,"yes","no","no","male","no",8,"yes",300
15,48,"yes",0,"yes","no","no","male","no",8,"yes",300
16,40,"yes",0,"yes","no","no","male","no",8,"yes",292
7,49,"yes",1,"no","yes","yes","male","yes",12,"no",617
8,48,"yes",1,"no","yes","yes","male","yes",12,"no",652
9,48,"yes",1,"no","yes","yes","male","yes",12,"no",716
10,48,"yes",1,"no","yes","yes","male","yes",12,"no",805
11,45,"yes",1,"no","yes","yes","male","yes",12,"no",886
12,49,"yes",1,"no","yes","yes","male","yes",12,"no",1012
13,47,"yes",1,"no","yes","yes","male","yes",12,"no",1150
1,52,"no",0,"no","yes","no","female","no",12,"no",295
2,50,"no",0,"no","yes","no","female","no",12,"no",350
3,50,"no",0,"no","yes","no","female","no",12,"no",385
4,49,"no",0,"no","yes","no","female","no",12,"no",430
5,50,"no",0,"no","yes","no","female","no",12,"no",500
6,50,"no",0,"no","yes","no","female","no",12,"no",540
7,50,"no",0,"no","yes","no","female","no",12,"no",585
